STREET_ID,DATE_ID,date,year,quarter,month,ZONE_ID,zone,CRIME_ID,crime,type,NPU_ID,npu,number
77,461,2010-04-06,2010,2,April,38,5,7,LARCENY-FROM VEHICLE,amenity,94,E,100961382
77,537,2010-06-21,2010,2,June,51,2,18,LARCENY-NON VEHICLE,shop,51,D,101721204
77,675,2010-11-06,2010,4,November,51,2,18,LARCENY-NON VEHICLE,shop,51,D,103102258
77,744,2011-01-14,2011,1,January,51,2,18,LARCENY-NON VEHICLE,shop,51,D,110140939
77,749,2011-01-19,2011,1,January,51,2,18,LARCENY-NON VEHICLE,shop,51,D,110190942
77,1018,2011-10-15,2011,4,October,51,2,18,LARCENY-NON VEHICLE,shop,51,D,112881669
77,1218,2012-05-02,2012,2,May,57,2,12,LARCENY-FROM VEHICLE,road,91,D,121231495
77,1375,2012-10-06,2012,4,October,51,2,18,LARCENY-NON VEHICLE,shop,51,D,122802057
77,1388,2012-10-19,2012,4,October,51,2,18,LARCENY-NON VEHICLE,shop,51,D,122931372
77,1574,2013-04-23,2013,2,April,38,5,7,LARCENY-FROM VEHICLE,amenity,94,E,131130823
77,2655,2016-04-08,2016,2,April,51,2,38,BURGLARY-NONRES,amenity,62,D,160990746
78,212,2009-07-31,2009,3,July,52,3,3,BURGLARY-RESIDENCE,house_number,108,X,92121918
78,1517,2013-02-25,2013,1,February,52,3,2,AUTO THEFT,house_number,55,X,130560740
79,1494,2013-02-02,2013,1,February,24,1,3,BURGLARY-RESIDENCE,house_number,26,L,130321134
80,128,2009-05-08,2009,2,May,7,2,10,AGG ASSAULT,house_number,56,F,91281953
80,1017,2011-10-14,2011,4,October,59,2,36,LARCENY-NON VEHICLE,tourism,65,B,112871571
81,604,2010-08-27,2010,3,August,53,6,9,ROBBERY-RESIDENCE,house_number,57,N,102392599
81,643,2010-10-05,2010,4,October,65,6,7,LARCENY-FROM VEHICLE,amenity,79,W,102782338
81,2915,2016-12-24,2016,4,December,65,6,1,LARCENY-NON VEHICLE,house_number,79,W,163591978
82,854,2011-05-04,2011,2,May,33,4,10,AGG ASSAULT,house_number,59,S,111241875
82,2110,2014-10-11,2014,4,October,33,4,10,AGG ASSAULT,house_number,59,S,142841137
83,1400,2012-10-31,2012,4,October,55,3,4,LARCENY-FROM VEHICLE,house_number,61,V,123051484
84,1915,2014-03-30,2014,1,March,45,1,3,BURGLARY-RESIDENCE,house_number,46,G,140891524
84,2582,2016-01-26,2016,1,January,45,1,3,BURGLARY-RESIDENCE,house_number,46,G,160260657
85,548,2010-07-02,2010,3,July,13,4,1,LARCENY-NON VEHICLE,house_number,13,T,101830938
